,Manager Name,Year,Month,AUM (crs),Turnover Ratio,Return
27,AAROHAN HOLDINGS AND ADVISORS PRIVATE LIMITED,2021,May,83.935,0.07992,2.37
28,AAROHAN HOLDINGS AND ADVISORS PRIVATE LIMITED,2021,June,85.44,0.09694,1.78
29,AAROHAN HOLDINGS AND ADVISORS PRIVATE LIMITED,2021,July,88.18999,0.04211,1.42
30,Aarohan Holdings and Advisors Private Limited,2021,March,80.13,0.0916,1.03
31,Aarohan Holdings and Advisors Private Limited,2021,April,81.41,0.04674,1.4
32,Aarohan Holdings and Advisors Private Limited,2021,May,83.935,0.07992,2.37
33,Aarohan Holdings and Advisors Private Limited,2021,June,85.44,0.09694,1.78
34,Aarohan Holdings and Advisors Private Limited,2021,July,88.18999,0.04211,1.42
35,Abakkus Asset Manager LLP,2021,March,228.2,0.3,1.42
36,Abakkus Asset Manager LLP,2021,April,330.48,0.24,6.43
37,Abakkus Asset Manager LLP,2021,May,480.4,0.29,10.87
38,Abakkus Asset Manager LLP,2021,June,655.74,0.27,4.26
39,Abakkus Asset Manager LLP,2021,July,973.13,0.35,8.53
40,ABANS BROKING SERVICES PRIVATE LIMITED,2021,March,2.97,0.0,1.26
41,ABANS BROKING SERVICES PRIVATE LIMITED,2021,April,2.39,0.27,1.99
42,ABANS BROKING SERVICES PRIVATE LIMITED,2021,May,2.52,0.0,5.52
43,ABANS BROKING SERVICES PRIVATE LIMITED,2021,June,2.29,0.85,4.69
44,ABANS BROKING SERVICES PRIVATE LIMITED,2021,July,2.36,0.0,3.43
45,Abchlor Investment Advisors Private Limited,2021,April,27.29,0.09,-1.16
46,Abchlor Investment Advisors Private Limited,2021,May,28.44,0.03,4.22
47,Abchlor Investment Advisors Private Limited,2021,June,29.56,0.01,1.12
48,Abchlor Investment Advisors Private Limited,2021,July,37.22,0.03,0.64
49,ACCURACAP CONSULTANCY SERVICES PRIVATE LIMITED,2021,March,540.92,0.02,0.32
50,ACCURACAP CONSULTANCY SERVICES PRIVATE LIMITED,2021,April,563.87,0.04,-1.6
51,ACCURACAP CONSULTANCY SERVICES PRIVATE LIMITED,2021,May,608.33,0.24,4.6
52,ACCURACAP CONSULTANCY SERVICES PRIVATE LIMITED,2021,June,629.31,0.02,2.19
53,ACCURACAP CONSULTANCY SERVICES PRIVATE LIMITED,2021,July,660.56,0.11,2.65
54,Accuracap Consultancy Services Private Limited,2021,March,540.92,0.02,0.32
55,Accuracap Consultancy Services Private Limited,2021,April,563.87,0.04,-1.6
56,Accuracap Consultancy Services Private Limited,2021,May,608.33,0.24,4.6
57,Accuracap Consultancy Services Private Limited,2021,June,629.31,0.02,2.19
58,Accuracap Consultancy Services Private Limited,2021,July,660.56,0.11,2.65
59,ACEPRO ADVISORS PRIVATE LIMITED,2021,March,49.25,0.17,-3.58
60,ACEPRO ADVISORS PRIVATE LIMITED,2021,April,49.49,0.08,9.32
61,ACEPRO ADVISORS PRIVATE LIMITED,2021,May,53.65,0.1,20.59
62,ACEPRO ADVISORS PRIVATE LIMITED,2021,June,50.2,0.17,25.83
63,ACEPRO ADVISORS PRIVATE LIMITED,2021,July,51.53,0.17,11.27
64,Acepro Advisors Private Limited,2021,March,49.25,0.17,-3.58
65,Acepro Advisors Private Limited,2021,April,49.49,0.08,9.32
66,Acepro Advisors Private Limited,2021,May,53.65,0.1,20.59
67,Acepro Advisors Private Limited,2021,June,50.2,0.17,25.83
68,Acepro Advisors Private Limited,2021,July,51.53,0.17,11.27
69,ACHINTYA SECURITIES PRIVATE LIMITED,2021,March,0.69,0.0,-0.1
70,ACHINTYA SECURITIES PRIVATE LIMITED,2021,April,0.73,0.0,5.47
71,ACHINTYA SECURITIES PRIVATE LIMITED,2021,May,0.81,0.0,10.9
72,ADITYA BIRLA MONEY LIMITED,2021,March,224.39,0.07,0.68
73,ADITYA BIRLA MONEY LIMITED,2021,March,224.39,0.07,0.68
74,ADROIT FINANCIAL SERVICES PRIVATE LIMITED,2021,March,0.96,0.98,0.2
75,Adroit Financial Services Private Limited,2021,March,0.96,0.98,0.2
76,AEQUITAS INVESTMENT CONSULTANCY PRIVATE LIMITED,2021,March,720.7,0.03,-1.03
77,AEQUITAS INVESTMENT CONSULTANCY PRIVATE LIMITED,2021,April,799.19,0.02,12.76
78,AEQUITAS INVESTMENT CONSULTANCY PRIVATE LIMITED,2021,May,906.73,0.04,14.27
79,AEQUITAS INVESTMENT CONSULTANCY PRIVATE LIMITED,2021,June,1019.68,0.04,12.9
80,AEQUITAS INVESTMENT CONSULTANCY PRIVATE LIMITED,2021,July,1178.26,0.01,14.98
81,Aequitas Investment Consultancy Private Limited,2021,March,720.7,0.03,-1.03
82,Aequitas Investment Consultancy Private Limited,2021,April,799.19,0.02,12.76
83,Aequitas Investment Consultancy Private Limited,2021,May,906.73,0.04,14.27
84,Aequitas Investment Consultancy Private Limited,2021,June,1019.68,0.04,12.9
85,Aequitas Investment Consultancy Private Limited,2021,July,1178.26,0.01,14.98
86,Agreya Capital Advisors LLP,2021,March,207.75,0.0528,-6.26
87,Agreya Capital Advisors LLP,2021,April,221.34,0.096,-1.5
88,ALCHEMY CAPITAL MANAGEMENT PRIVATE LTD,2021,March,4898.71257,0.069,8.21
89,ALCHEMY CAPITAL MANAGEMENT PRIVATE LTD,2021,April,4964.42021,0.088,10.47
90,ALCHEMY CAPITAL MANAGEMENT PRIVATE LTD,2021,May,5112.22484,0.074,4.63
91,ALCHEMY CAPITAL MANAGEMENT PRIVATE LTD,2021,June,5235.12181,0.053,0.53
92,ALCHEMY CAPITAL MANAGEMENT PRIVATE LTD,2021,July,5388.11123,0.085,9.6
93,ALCHEMY CAPITAL MANAGEMENT PRIVATE LTD,2021,March,4898.71257,0.069,8.21
94,ALCHEMY CAPITAL MANAGEMENT PRIVATE LTD,2021,April,4964.42021,0.088,10.47
95,ALCHEMY CAPITAL MANAGEMENT PRIVATE LTD,2021,May,5112.22484,0.074,4.63
96,ALCHEMY CAPITAL MANAGEMENT PRIVATE LTD,2021,June,5235.12181,0.053,0.53
97,ALCHEMY CAPITAL MANAGEMENT PRIVATE LTD,2021,July,5388.11123,0.085,9.6
98,ALDER CAPITAL ADVISORS LLP,2021,March,60.78,0.06,-2.05
99,ALDER CAPITAL ADVISORS LLP,2021,April,59.65,0.06,-0.31
100,ALDER CAPITAL ADVISORS LLP,2021,May,61.34,0.11,4.35
101,ALDER CAPITAL ADVISORS LLP,2021,June,62.36,0.09,5.53
102,ALDER CAPITAL ADVISORS LLP,2021,July,63.71,0.07,2.67
103,Alder Capital Advisors LLP,2021,March,60.78,0.06,-2.05
104,Alder Capital Advisors LLP,2021,April,59.65,0.06,-0.31
105,Alder Capital Advisors LLP,2021,May,61.34,0.11,4.35
106,Alder Capital Advisors LLP,2021,June,62.36,0.09,5.53
107,Alder Capital Advisors LLP,2021,July,63.71,0.07,2.67
108,ALFACCURATE ADVISORS PVT. LTD.,2021,March,719.56,0.05,1.0
109,ALFACCURATE ADVISORS PVT. LTD.,2021,April,738.32,0.06,1.06
110,ALFACCURATE ADVISORS PVT. LTD.,2021,May,798.52,0.05,5.94
111,ALFACCURATE ADVISORS PVT. LTD.,2021,June,869.27,0.0,2.7
112,ALFACCURATE ADVISORS PVT. LTD.,2021,July,886.03,0.04,1.62
113,AlfAccurate Advisors Pvt. Ltd.,2021,March,719.56,0.05,1.0
114,AlfAccurate Advisors Pvt. Ltd.,2021,April,738.32,0.06,1.06
115,AlfAccurate Advisors Pvt. Ltd.,2021,May,798.52,0.05,5.94
116,AlfAccurate Advisors Pvt. Ltd.,2021,June,869.27,0.0,2.7
117,AlfAccurate Advisors Pvt. Ltd.,2021,July,886.03,0.04,1.62
118,ALLEGRO CAPITAL ADVISORS PVT LTD,2021,March,227.2039,0.04,0.34
119,ALLEGRO CAPITAL ADVISORS PVT LTD,2021,April,226.83995,0.006,0.98
120,ALLEGRO CAPITAL ADVISORS PVT LTD,2021,May,234.53101,0.018,5.65
121,ALLEGRO CAPITAL ADVISORS PVT LTD,2021,June,229.56713,0.047,2.06
122,ALLEGRO CAPITAL ADVISORS PVT LTD,2021,July,235.36402,0.021,2.48
123,ALLEGRO CAPITAL ADVISORS PVT LTD,2021,March,227.2039,0.04,0.34
124,ALLEGRO CAPITAL ADVISORS PVT LTD,2021,April,226.83995,0.006,0.98
125,ALLEGRO CAPITAL ADVISORS PVT LTD,2021,May,234.53101,0.018,5.65
126,ALLEGRO CAPITAL ADVISORS PVT LTD,2021,June,229.56713,0.047,2.06
127,ALLEGRO CAPITAL ADVISORS PVT LTD,2021,July,235.36402,0.021,2.48
128,ALPHA ALTERNATIVES FUND ADVISORS LLP,2021,March,42.49,0.63,0.99
129,ALPHA ALTERNATIVES FUND ADVISORS LLP,2021,April,41.0,0.62,1.24
130,ALPHA ALTERNATIVES FUND ADVISORS LLP,2021,May,41.25,0.11,0.64
131,ALPHA ALTERNATIVES FUND ADVISORS LLP,2021,June,46.95,0.24,0.0
132,ALPHA ALTERNATIVES FUND ADVISORS LLP,2021,July,46.6,0.05,6.04
133,ALPHA CAPITAL ADVISORS PVT. LTD.,2021,March,318.33,0.0,-0.63
134,ALPHA CAPITAL ADVISORS PVT. LTD.,2021,April,320.16,0.01,-0.25
135,ALPHA CAPITAL ADVISORS PVT. LTD.,2021,May,320.82,0.0,7.61
136,ALPHA CAPITAL ADVISORS PVT. LTD.,2021,June,317.82,0.0,0.24
137,ALPHA CAPITAL ADVISORS PVT. LTD.,2021,July,318.37,0.0,1.11
138,Alpha Capital Advisors Pvt. Ltd.,2021,March,318.33,0.0,-0.63
139,Alpha Capital Advisors Pvt. Ltd.,2021,April,320.16,0.01,-0.25
140,Alpha Capital Advisors Pvt. Ltd.,2021,May,320.82,0.0,7.61
141,Alpha Capital Advisors Pvt. Ltd.,2021,June,317.82,0.0,0.24
142,Alpha Capital Advisors Pvt. Ltd.,2021,July,318.37,0.0,1.11
143,ALTITUDE CAPITAL ADVISORS PRIVATE LIMITED,2021,March,1.57,0.0,-1.2
144,ALTITUDE CAPITAL ADVISORS PRIVATE LIMITED,2021,March,1.57,0.0,-1.2
145,AMBIT CAPITAL PRIVATE LTD,2021,March,36.68,0.35,2.59
146,AMBIT CAPITAL PRIVATE LTD,2021,April,46.66,0.32,3.05
147,AMBIT CAPITAL PRIVATE LTD,2021,May,54.56,0.15,4.36
148,AMBIT CAPITAL PRIVATE LTD,2021,June,63.66,0.11,8.72
149,AMBIT CAPITAL PRIVATE LTD,2021,July,82.3,0.32,9.12
150,AMBIT CAPITAL PRIVATE LTD,2021,March,36.68,0.35,2.59
151,AMBIT CAPITAL PRIVATE LTD,2021,April,46.66,0.32,3.05
152,AMBIT CAPITAL PRIVATE LTD,2021,May,54.56,0.15,4.36
153,AMBIT CAPITAL PRIVATE LTD,2021,June,63.66,0.11,8.72
154,AMBIT CAPITAL PRIVATE LTD,2021,July,82.3,0.32,9.12
155,AMBIT INVESTMENT ADVISORS PRIVATE LIMITED,2021,March,1371.25,0.05,4.69
156,AMBIT INVESTMENT ADVISORS PRIVATE LIMITED,2021,April,1407.63,0.03,-1.71
157,AMBIT INVESTMENT ADVISORS PRIVATE LIMITED,2021,May,1530.93,0.07,9.15
158,AMBIT INVESTMENT ADVISORS PRIVATE LIMITED,2021,June,1605.48,0.07,1.28
159,AMBIT INVESTMENT ADVISORS PRIVATE LIMITED,2021,July,1681.34,0.04,1.42
160,Ambit Investment Advisors Private Limited,2021,March,1371.25,0.05,4.69
161,Ambit Investment Advisors Private Limited,2021,April,1407.63,0.03,-1.71
162,Ambit Investment Advisors Private Limited,2021,May,1530.93,0.07,9.15
163,Ambit Investment Advisors Private Limited,2021,June,1605.48,0.07,1.28
164,Ambit Investment Advisors Private Limited,2021,July,1681.34,0.04,1.42
165,ANAND RATHI ADVISORS LIMITED,2021,March,145.88,0.09,3.75
166,ANAND RATHI ADVISORS LIMITED,2021,April,145.48,0.06,2.2
167,ANAND RATHI ADVISORS LIMITED,2021,May,158.71,0.06,8.15
168,ANAND RATHI ADVISORS LIMITED,2021,June,173.05,0.06,5.89
169,ANAND RATHI ADVISORS LIMITED,2021,July,197.57,0.07,7.48
170,ANAND RATHI ADVISORS LIMITED,2021,March,145.88,0.09,3.75
171,ANAND RATHI ADVISORS LIMITED,2021,April,145.48,0.06,2.2
172,ANAND RATHI ADVISORS LIMITED,2021,May,158.71,0.06,8.15
173,ANAND RATHI ADVISORS LIMITED,2021,June,173.05,0.06,5.89
174,ANAND RATHI ADVISORS LIMITED,2021,July,197.57,0.07,7.48
175,ANGEL BROKING LTD.,2021,March,0.855,0.0,0.0
176,ANGEL BROKING LTD.,2021,April,0.878,0.0,0.0
177,ANGEL BROKING LTD.,2021,May,0.905,0.0,0.0
178,ANGEL BROKING LTD.,2021,June,0.952,0.0,0.0
179,ANGEL BROKING LTD.,2021,July,0.98,0.0,0.0
180,ANGEL BROKING LTD.,2021,March,0.855,0.0,0.0
181,ANGEL BROKING LTD.,2021,April,0.878,0.0,0.0
182,ANGEL BROKING LTD.,2021,May,0.905,0.0,0.0
183,ANGEL BROKING LTD.,2021,June,0.952,0.0,0.0
184,ANIVED PORTFOLIO MANAGERS PVT. LTD.,2021,March,94.42,0.53,1.42
185,ANIVED PORTFOLIO MANAGERS PVT. LTD.,2021,April,95.62,0.47,-0.1
186,ANIVED PORTFOLIO MANAGERS PVT. LTD.,2021,May,93.99,0.07,4.34
187,ANIVED PORTFOLIO MANAGERS PVT. LTD.,2021,June,95.58,0.06,1.69
188,ANIVED PORTFOLIO MANAGERS PVT. LTD.,2021,July,94.22,0.11,2.76
189,Anived Portfolio Managers Pvt. Ltd.,2021,March,94.42,0.53,1.42
190,Anived Portfolio Managers Pvt. Ltd.,2021,April,95.62,0.47,-0.1
191,Anived Portfolio Managers Pvt. Ltd.,2021,May,93.99,0.07,4.34
192,Anived Portfolio Managers Pvt. Ltd.,2021,June,95.58,0.06,1.69
193,Anived Portfolio Managers Pvt. Ltd.,2021,July,94.22,0.11,2.76
194,ANVIL WEALTH MANAGEMENT PVT LTD,2021,March,935.73107,0.084,5.95
195,ANVIL WEALTH MANAGEMENT PVT LTD,2021,March,935.73107,0.084,5.95
196,ARIHANT ASSET MANAGEMENT LIMITED,2021,March,34.86,0.25,6.24
197,ARIHANT ASSET MANAGEMENT LIMITED,2021,April,42.46,0.18,9.88
198,ARIHANT ASSET MANAGEMENT LIMITED,2021,May,55.39,0.17,19.59
199,ARIHANT ASSET MANAGEMENT LIMITED,2021,June,64.01,0.11,7.3
200,ARIHANT ASSET MANAGEMENT LIMITED,2021,July,72.13,0.11,10.14
201,ASIAN MARKETS SECURITIES PRIVATE LIMITED,2021,March,17.5291,0.0031,2.1441
202,ASIAN MARKETS SECURITIES PRIVATE LIMITED,2021,April,19.79,0.02,3.99
203,ASIAN MARKETS SECURITIES PRIVATE LIMITED,2021,May,21.87,0.01,5.49
204,ASIAN MARKETS SECURITIES PRIVATE LIMITED,2021,June,22.49,0.03,3.93
205,ASIAN MARKETS SECURITIES PRIVATE LIMITED,2021,July,23.12,0.04,3.0
206,Asian Markets Securities Private Limited,2021,March,17.5291,0.0031,2.1441
207,Asian Markets Securities Private Limited,2021,April,19.79,0.02,3.99
208,Asian Markets Securities Private Limited,2021,May,21.87,0.01,5.49
209,Asian Markets Securities Private Limited,2021,June,22.49,0.03,3.93
210,Asian Markets Securities Private Limited,2021,July,23.12,0.04,3.0
211,Asit C. Mehta Investment Interrmediates Limited,2021,March,22.9,0.05,0.6
212,Asit C. Mehta Investment Interrmediates Limited,2021,April,24.09,0.04,0.83
213,Asit C. Mehta Investment Interrmediates Limited,2021,May,26.38,0.09,9.03
214,Asit C. Mehta Investment Interrmediates Limited,2021,June,27.44,0.02,-0.46
215,Asit C. Mehta Investment Interrmediates Limited,2021,July,28.75,0.01,2.22
216,ASK INVESTMENT MANAGERS LIMITED,2021,March,23406.46,0.03,2.9
217,ASK INVESTMENT MANAGERS LIMITED,2021,April,23665.11,0.04,5.78
218,ASK INVESTMENT MANAGERS LIMITED,2021,May,24796.09,0.02,3.36
219,ASK INVESTMENT MANAGERS LIMITED,2021,June,25657.5,0.04,6.84
220,ASK INVESTMENT MANAGERS LIMITED,2021,July,26807.53,0.05,4.23
221,ASK Investment Managers Private Limited,2021,March,23406.46,0.03,2.9
222,ASK Investment Managers Private Limited,2021,April,23665.11,0.04,5.78
223,ASK Investment Managers Private Limited,2021,May,24796.09,0.02,3.36
224,ASK Investment Managers Private Limited,2021,June,25657.5,0.04,6.84
225,ASK Investment Managers Private Limited,2021,July,26807.53,0.05,4.23
226,ASTUTE INVESTMENT MANAGEMENT PRIVATE LIMITED,2021,March,45.34288,0.073,-3.61
227,ASTUTE INVESTMENT MANAGEMENT PRIVATE LIMITED,2021,April,45.92662,0.072,1.32
228,ASTUTE INVESTMENT MANAGEMENT PRIVATE LIMITED,2021,April,45.92662,0.072,1.32
229,ASTUTE INVESTMENT MANAGEMENT PRIVATE LIMITED,2021,May,53.30304,0.0,16.08
230,ASTUTE INVESTMENT MANAGEMENT PRIVATE LIMITED,2021,June,52.32988,0.011,-0.74
231,ASTUTE INVESTMENT MANAGEMENT PRIVATE LIMITED,2021,July,53.7418,0.119,3.09
232,ATLAS INTEGRATED FINANCE LTD,2021,March,14.18724,0.032,0.0
233,ATLAS INTEGRATED FINANCE LTD,2021,April,14.12485,0.0,-0.43
234,ATLAS INTEGRATED FINANCE LTD,2021,May,15.56,0.01,4.01
235,ATLAS INTEGRATED FINANCE LTD,2021,June,15.95,0.03,-1.05
236,ATLAS INTEGRATED FINANCE LTD,2021,July,16.22,0.01,1.2
237,ATLAS INTEGRATED FINANCE LTD,2021,March,14.18724,0.032,0.0
238,ATLAS INTEGRATED FINANCE LTD,2021,April,14.12485,0.0,-0.43
239,ATLAS INTEGRATED FINANCE LTD,2021,May,15.56,0.01,4.01
240,ATLAS INTEGRATED FINANCE LTD,2021,June,15.95,0.03,-1.05
241,ATLAS INTEGRATED FINANCE LTD,2021,July,16.22,0.01,1.2
242,Atman Capital Management Private Limited,2021,March,5.46,0.04,-2.68
243,Atman Capital Management Private Limited,2021,April,5.61,0.05,2.67
244,Atman Capital Management Private Limited,2021,May,4.82,0.23,2.82
245,Atman Capital Management Private Limited,2021,June,5.02,0.0,4.16
246,Atman Capital Management Private Limited,2021,July,5.25,0.0,4.48
247,Avendus Capital Public Markets Alternate Strategies LLP,2021,March,978.52,0.1,-1.16
248,Avendus Capital Public Markets Alternate Strategies LLP,2021,April,1156.12,0.08,0.2
249,Avendus Capital Public Markets Alternate Strategies LLP,2021,May,1199.79,0.04,0.7
250,Avendus Capital Public Markets Alternate Strategies LLP,2021,June,1241.46,0.09,0.04
251,Avendus Capital Public Markets Alternate Strategies LLP,2021,July,1242.69,0.06,1.48
252,AVENDUS WEALTH MANAGEMENT PRIVATE LTD,2021,March,380.65,0.04,-0.59
253,AVENDUS WEALTH MANAGEMENT PRIVATE LTD,2021,April,396.02,0.07,3.87
254,AVENDUS WEALTH MANAGEMENT PRIVATE LTD,2021,May,427.83,0.09,3.12
255,AVENDUS WEALTH MANAGEMENT PRIVATE LTD,2021,June,452.09,0.06,2.12
256,AVENDUS WEALTH MANAGEMENT PRIVATE LTD,2021,July,464.21,0.05,2.71
257,Avendus Wealth Management Private Ltd,2021,March,380.65,0.04,-0.59
258,Avendus Wealth Management Private Ltd,2021,April,396.02,0.07,3.87
259,Avendus Wealth Management Private Ltd,2021,May,427.83,0.09,3.12
260,Avendus Wealth Management Private Ltd,2021,June,452.09,0.06,2.12
261,Avendus Wealth Management Private Ltd,2021,July,464.21,0.05,2.71
262,Avestha Fund Management LLP,2021,March,214.65,0.04,0.72
263,Avestha Fund Management LLP,2021,April,220.35,0.03,0.01
264,Avestha Fund Management LLP,2021,May,242.87,0.07,10.43
265,Avestha Fund Management LLP,2021,June,251.72,0.12,2.37
266,Avestha Fund Management LLP,2021,July,278.59,0.02,8.34
267,Awriga Capital Advisors LLP,2021,March,149.982,0.0564,-0.0492
268,Awriga Capital Advisors LLP,2021,April,163.6421,0.0629,1.3381
269,Awriga Capital Advisors LLP,2021,May,171.0856,0.0376,2.7264
270,Awriga Capital Advisors LLP,2021,June,179.5138,0.0083,1.632
271,Awriga Capital Advisors LLP,2021,July,188.9373,0.0626,3.0417
272,AXIS ASSET MANAGEMENT COMPANY LIMITED,2021,March,1506.95,0.07,0.81
273,AXIS ASSET MANAGEMENT COMPANY LIMITED,2021,April,1486.14,0.04,-1.14
274,AXIS ASSET MANAGEMENT COMPANY LIMITED,2021,May,1564.19,0.08,6.93
275,AXIS ASSET MANAGEMENT COMPANY LIMITED,2021,June,1547.75,0.06,1.26
276,AXIS ASSET MANAGEMENT COMPANY LIMITED,2021,July,1562.27,0.06,2.23
277,Axis Asset Management Company Limited,2021,March,1506.95,0.07,0.81
278,Axis Asset Management Company Limited,2021,April,1486.14,0.04,-1.14
279,Axis Asset Management Company Limited,2021,May,1564.19,0.08,6.93
280,Axis Asset Management Company Limited,2021,June,1547.75,0.06,1.26
281,Axis Asset Management Company Limited,2021,July,1562.27,0.06,2.23
282,BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2021,March,93.46,0.16,2.62
283,BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2021,April,103.05,0.13,10.17
284,BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2021,May,112.07,0.1,10.06
285,BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2021,June,120.78,0.08,4.91
286,BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2021,July,143.0,0.09,19.33
287,BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2021,March,93.46,0.16,2.62
288,BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2021,April,103.05,0.13,10.17
289,BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2021,May,112.07,0.1,10.06
290,BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2021,June,120.78,0.08,4.91
291,BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2021,July,143.0,0.09,19.33
292,BANYAN TREE ADVISORS PRIVATE LIMITED,2021,March,3228.89,1.8,2.3
293,BANYAN TREE ADVISORS PRIVATE LIMITED,2021,April,3194.33,1.8,-0.2
294,BANYAN TREE ADVISORS PRIVATE LIMITED,2021,May,3436.65,1.7,5.8
295,BANYAN TREE ADVISORS PRIVATE LIMITED,2021,June,3492.02,1.6,0.8
296,BANYAN TREE ADVISORS PRIVATE LIMITED,2021,July,3608.05,3.1,2.4
297,BANYAN TREE ADVISORS PRIVATE LIMITED,2021,March,3228.89,1.8,2.3
298,BANYAN TREE ADVISORS PRIVATE LIMITED,2021,April,3194.33,1.8,-0.2
299,BANYAN TREE ADVISORS PRIVATE LIMITED,2021,May,3436.65,1.7,5.8
300,BANYAN TREE ADVISORS PRIVATE LIMITED,2021,June,3492.02,1.6,0.8
301,BANYAN TREE ADVISORS PRIVATE LIMITED,2021,July,3608.05,3.1,2.4
302,BARCLAYS SECURITIES (INDIA) PRIVATE LIMITED,2021,March,870.67228,0.196,1.2
303,BARCLAYS SECURITIES (INDIA) PRIVATE LIMITED,2021,April,916.11009,0.168,0.84
304,BARCLAYS SECURITIES (INDIA) PRIVATE LIMITED,2021,May,965.46515,0.157,0.75
305,BARCLAYS SECURITIES (INDIA) PRIVATE LIMITED,2021,June,974.03913,0.184,-0.37
306,BARCLAYS SECURITIES (INDIA) PRIVATE LIMITED,2021,July,1040.85746,0.117,0.79
307,BARCLAYS SECURITIES (INDIA) PRIVATE LIMITED,2021,March,870.67228,0.196,1.2
308,BARCLAYS SECURITIES (INDIA) PRIVATE LIMITED,2021,April,916.11009,0.168,0.84
309,BARCLAYS SECURITIES (INDIA) PRIVATE LIMITED,2021,May,965.46515,0.157,0.75
310,BARCLAYS SECURITIES (INDIA) PRIVATE LIMITED,2021,June,974.03913,0.184,-0.37
311,BARCLAYS SECURITIES (INDIA) PRIVATE LIMITED,2021,July,1040.85746,0.117,0.79
312,BASANT MAHESHWARI WEALTH ADVISERS LLP,2021,March,270.5,0.28,-2.42
313,BASANT MAHESHWARI WEALTH ADVISERS LLP,2021,April,303.0,0.1,10.69
314,BASANT MAHESHWARI WEALTH ADVISERS LLP,2021,May,312.35,0.09,2.85
315,BASANT MAHESHWARI WEALTH ADVISERS LLP,2021,June,321.45,0.01,4.61
316,BASANT MAHESHWARI WEALTH ADVISERS LLP,2021,July,348.55,0.23,6.42
317,Basant Maheshwari Wealth Advisers LLP,2021,March,270.5,0.28,-2.42
318,Basant Maheshwari Wealth Advisers LLP,2021,April,303.0,0.1,10.69
319,Basant Maheshwari Wealth Advisers LLP,2021,May,312.35,0.09,2.85
320,Basant Maheshwari Wealth Advisers LLP,2021,June,321.45,0.01,4.61
321,Basant Maheshwari Wealth Advisers LLP,2021,July,348.55,0.23,6.42
322,BAY CAPITAL INVESTMENT ADVISORS PRIVATE LIMITED,2021,March,15.508,0.0,0.75
323,BAY CAPITAL INVESTMENT ADVISORS PRIVATE LIMITED,2021,March,15.508,0.0,0.75
324,BELLWETHER CAPITAL PRIVATE LIMITED,2021,March,1396.95124,0.036,-1.45
325,BELLWETHER CAPITAL PRIVATE LIMITED,2021,April,1392.11464,0.05,-0.63
326,BELLWETHER CAPITAL PRIVATE LIMITED,2021,May,1494.81402,0.03,7.03
